theme,source_annotation,count,hors_referentiel
Développement,ml,352,false
Développement,mistral,222,false
Architecture,mistral,222,false
DevOps/Infrastructure,mistral,211,false
Sécurité,ml,203,false
IA/ML,mistral,192,false
Sécurité,mistral,156,false
Pratiques/Qualité,mistral,152,false
Architecture,ml,140,false
IA/ML,ml,135,false
Productivité/Outils,ml,109,false
DevOps/Infrastructure,ml,105,false
Productivité/Outils,mistral,93,false
Pratiques/Qualité,ml,44,false
Infrastructure,mistral,1,true
Produktivité/Outils,mistral,1,true
IoT,mistral,1,true
